+-----+-----------------+----------------+-------------------+------------------+--------------------+---------------+-----------------+------------+---------------------------------------------------------------------+---------------------+---------------------+---------------------+---------------------+---------------------+-------------------+------------------+-------------------+
|     |   mean_fit_time |   std_fit_time |   mean_score_time |   std_score_time |   param_batch_size |   param_epoch | param_loss_fn   |   param_lr | params                                                              |   split0_test_score |   split1_test_score |   split2_test_score |   split3_test_score |   split4_test_score |   mean_test_score |   std_test_score |   rank_test_score |
|-----+-----------------+----------------+-------------------+------------------+--------------------+---------------+-----------------+------------+---------------------------------------------------------------------+---------------------+---------------------+---------------------+---------------------+---------------------+-------------------+------------------+-------------------|
|   0 |        15.9433  |    2.37231     |        0.0110457  |      0.00150632  |                 32 |            25 | MSE             |     0.01   | {'batch_size': 32, 'epoch': 25, 'loss_fn': 'MSE', 'lr': 0.01}       |            0.231427 |            0.250193 |            0.236749 |            0.229959 |            0.230704 |          0.235806 |       0.00758    |               150 |
|   1 |        14.848   |    0.0738208   |        0.010925   |      0.00163674  |                 32 |            25 | MSE             |     0.001  | {'batch_size': 32, 'epoch': 25, 'loss_fn': 'MSE', 'lr': 0.001}      |            0.217939 |            0.232734 |            0.239144 |            0.226057 |            0.242072 |          0.231589 |       0.00877741 |               152 |
|   2 |        14.8767  |    0.103808    |        0.0104683  |      0.00134941  |                 32 |            25 | MSE             |     0.0001 | {'batch_size': 32, 'epoch': 25, 'loss_fn': 'MSE', 'lr': 0.0001}     |            0.286744 |            0.315761 |            0.273177 |            0.272384 |            0.264047 |          0.282423 |       0.018188   |               136 |
|   3 |        14.8671  |    0.0275831   |        0.0103302  |      0.00139424  |                 32 |            25 | MSE             |     1e-05  | {'batch_size': 32, 'epoch': 25, 'loss_fn': 'MSE', 'lr': 1e-05}      |            0.672679 |            0.683058 |            0.596696 |            0.5159   |            0.844084 |          0.662483 |       0.108922   |                32 |
|   4 |        15.0638  |    0.0559884   |        0.010196   |      0.00141265  |                 32 |            25 | Mean            |     0.01   | {'batch_size': 32, 'epoch': 25, 'loss_fn': 'Mean', 'lr': 0.01}      |            0.303692 |            0.317744 |            0.320417 |            0.313954 |            0.31052  |          0.313265 |       0.00584598 |                94 |
|   5 |        15.1026  |    0.0176001   |        0.0108472  |      0.00123227  |                 32 |            25 | Mean            |     0.001  | {'batch_size': 32, 'epoch': 25, 'loss_fn': 'Mean', 'lr': 0.001}     |            0.307195 |            0.320494 |            0.318049 |            0.315351 |            0.324509 |          0.31712  |       0.00580484 |                89 |
|   6 |        15.0638  |    0.049543    |        0.0104424  |      0.000983872 |                 32 |            25 | Mean            |     0.0001 | {'batch_size': 32, 'epoch': 25, 'loss_fn': 'Mean', 'lr': 0.0001}    |            0.363367 |            0.357857 |            0.364992 |            0.366    |            0.349588 |          0.360361 |       0.00607634 |                66 |
|   7 |        15.0338  |    0.0644428   |        0.010111   |      0.00135842  |                 32 |            25 | Mean            |     1e-05  | {'batch_size': 32, 'epoch': 25, 'loss_fn': 'Mean', 'lr': 1e-05}     |            0.578541 |            0.625615 |            0.599252 |            0.590364 |            0.605185 |          0.599792 |       0.015727   |                34 |
|   8 |        29.4073  |    0.0968749   |        0.0108373  |      0.00163096  |                 32 |            50 | MSE             |     0.01   | {'batch_size': 32, 'epoch': 50, 'loss_fn': 'MSE', 'lr': 0.01}       |            0.215728 |            0.235062 |            0.229497 |            0.213845 |            0.216078 |          0.222042 |       0.00857597 |               161 |
|   9 |        29.5116  |    0.156117    |        0.0114003  |      0.00167115  |                 32 |            50 | MSE             |     0.001  | {'batch_size': 32, 'epoch': 50, 'loss_fn': 'MSE', 'lr': 0.001}      |            0.212483 |            0.224497 |            0.214775 |            0.223518 |            0.207917 |          0.216638 |       0.00641671 |               172 |
|  10 |        29.5469  |    0.0962161   |        0.0111028  |      0.00162898  |                 32 |            50 | MSE             |     0.0001 | {'batch_size': 32, 'epoch': 50, 'loss_fn': 'MSE', 'lr': 0.0001}     |            0.259191 |            0.24826  |            0.259951 |            0.261302 |            0.256407 |          0.257022 |       0.00466374 |               141 |
|  11 |        29.5687  |    0.116613    |        0.0115013  |      0.00148609  |                 32 |            50 | MSE             |     1e-05  | {'batch_size': 32, 'epoch': 50, 'loss_fn': 'MSE', 'lr': 1e-05}      |            0.379094 |            0.406352 |            0.371778 |            0.458004 |            0.67771  |          0.458587 |       0.113665   |                45 |
|  12 |        30.1401  |    0.0910596   |        0.0108541  |      0.00148305  |                 32 |            50 | Mean            |     0.01   | {'batch_size': 32, 'epoch': 50, 'loss_fn': 'Mean', 'lr': 0.01}      |            0.297847 |            0.304607 |            0.326076 |            0.313905 |            0.296521 |          0.307791 |       0.0110251  |               102 |
|  13 |        30.0788  |    0.0576513   |        0.0110339  |      0.00169108  |                 32 |            50 | Mean            |     0.001  | {'batch_size': 32, 'epoch': 50, 'loss_fn': 'Mean', 'lr': 0.001}     |            0.307894 |            0.301767 |            0.30606  |            0.313234 |            0.306922 |          0.307176 |       0.00368177 |               104 |
|  14 |        32.4967  |    1.2643      |        0.0123271  |      0.00181196  |                 32 |            50 | Mean            |     0.0001 | {'batch_size': 32, 'epoch': 50, 'loss_fn': 'Mean', 'lr': 0.0001}    |            0.342175 |            0.344644 |            0.344883 |            0.342873 |            0.338317 |          0.342579 |       0.00236563 |                73 |
|  15 |        32.2905  |    1.06638     |        0.0113532  |      0.00162628  |                 32 |            50 | Mean            |     1e-05  | {'batch_size': 32, 'epoch': 50, 'loss_fn': 'Mean', 'lr': 1e-05}     |            0.508276 |            0.452331 |            0.445495 |            0.436201 |            0.458198 |          0.4601   |       0.025177   |                44 |
|  16 |        58.8985  |    0.299733    |        0.0128822  |      8.18607e-05 |                 32 |           100 | MSE             |     0.01   | {'batch_size': 32, 'epoch': 100, 'loss_fn': 'MSE', 'lr': 0.01}      |            0.208465 |            0.2181   |            0.211417 |            0.236289 |            0.218056 |          0.218465 |       0.00967156 |               169 |
|  17 |        58.8467  |    0.230083    |        0.01289    |      0.000142548 |                 32 |           100 | MSE             |     0.001  | {'batch_size': 32, 'epoch': 100, 'loss_fn': 'MSE', 'lr': 0.001}     |            0.192819 |            0.211532 |            0.213918 |            0.219733 |            0.213517 |          0.210304 |       0.00915981 |               190 |
|  18 |        58.7735  |    0.100254    |        0.0128443  |      0.000205871 |                 32 |           100 | MSE             |     0.0001 | {'batch_size': 32, 'epoch': 100, 'loss_fn': 'MSE', 'lr': 0.0001}    |            0.235916 |            0.229119 |            0.232729 |            0.24805  |            0.233124 |          0.235788 |       0.00650106 |               151 |
|  19 |        58.8338  |    0.165086    |        0.0126627  |      0.000354429 |                 32 |           100 | MSE             |     1e-05  | {'batch_size': 32, 'epoch': 100, 'loss_fn': 'MSE', 'lr': 1e-05}     |            0.330761 |            0.354823 |            0.328631 |            0.365706 |            0.339264 |          0.343837 |       0.0142973  |                71 |
|  20 |        60.5655  |    0.44167     |        0.0123377  |      0.000871985 |                 32 |           100 | Mean            |     0.01   | {'batch_size': 32, 'epoch': 100, 'loss_fn': 'Mean', 'lr': 0.01}     |            0.301539 |            0.295098 |            0.304235 |            0.313494 |            0.310528 |          0.304979 |       0.00653166 |               111 |
|  21 |        64.7168  |    1.84521     |        0.0133449  |      0.000908071 |                 32 |           100 | Mean            |     0.001  | {'batch_size': 32, 'epoch': 100, 'loss_fn': 'Mean', 'lr': 0.001}    |            0.289404 |            0.296607 |            0.29624  |            0.295469 |            0.293985 |          0.294341 |       0.00262738 |               128 |
